Meter Number,Office,n_points,start_time,end_time,final_score_max,final_score_mean,point_iforest_max,dist_iforest,temp_iforest
KFM2020660182075,3410,96,2026-02-01 00:00:00,2026-02-01 23:45:00,100.0,86.03932196660772,100.0,100.0,100.0
SMR2420668001890,3410,96,2026-02-01 00:00:00,2026-02-01 23:45:00,100.0,74.29896908435357,100.0,100.0,100.0
SMR2420668001858,3420,96,2026-02-01 00:00:00,2026-02-01 23:45:00,100.0,87.46132104920628,100.0,100.0,100.0
KFM2020660182060,3420,96,2026-02-01 00:00:00,2026-02-01 23:45:00,100.0,83.09298889597046,100.0,100.0,100.0
KFM2120660235724,3420,96,2026-02-01 00:00:00,2026-02-01 23:45:00,100.0,90.3145595491704,100.0,100.0,100.0
SMR2420661042773,3440,96,2026-02-01 00:00:00,2026-02-01 23:45:00,100.0,83.8005495818166,100.0,100.0,100.0
KFM2020660158611,3440,96,2026-02-01 00:00:00,2026-02-01 23:45:00,100.0,88.15333062670152,100.0,100.0,100.0
SMR2320661027293,3420,96,2026-02-01 00:00:00,2026-02-01 23:45:00,100.0,84.87620680887925,100.0,100.0,100.0
SMR2220661016117,3420,63,2026-02-01 08:15:00,2026-02-01 23:45:00,100.0,100.0,100.0,100.0,100.0
SMR2220661016186,3420,96,2026-02-01 00:00:00,2026-02-01 23:45:00,100.0,86.97681363980467,100.0,100.0,100.0
SMR2420668002010,3420,96,2026-02-01 00:00:00,2026-02-01 23:45:00,100.0,89.71098255690896,100.0,100.0,100.0
KFM2020660152065,3410,88,2026-02-01 02:00:00,2026-02-01 23:45:00,100.0,45.85618668454653,100.0,100.0,100.0
MMF2320601008353,3420,96,2026-02-01 00:00:00,2026-02-01 23:45:00,100.0,82.4011428837329,100.0,100.0,100.0
SMR2220661020418,3430,96,2026-02-01 00:00:00,2026-02-01 23:45:00,100.0,68.47951560327404,100.0,100.0,100.0
KFM2020660077923,3410,96,2026-02-01 00:00:00,2026-02-01 23:45:00,100.0,69.68755561942199,100.0,100.0,100.0
SMR2420668001906,3420,96,2026-02-01 00:00:00,2026-02-01 23:45:00,99.95454065194428,86.95817408601704,100.0,100.0,100.0
SMR2420661042833,3440,96,2026-02-01 00:00:00,2026-02-01 23:45:00,99.81239232607672,80.37654584680796,100.0,100.0,98.74928217384475
SMR2420668001947,3420,96,2026-02-01 00:00:00,2026-02-01 23:45:00,99.02946057829894,83.95031436718459,100.0,100.0,93.52973718865955
SMR2420661037029,3420,96,2026-02-01 00:00:00,2026-02-01 23:45:00,98.76283912021583,85.65711248784929,100.0,100.0,100.0
SMR2220661010429,3420,96,2026-02-01 00:00:00,2026-02-01 23:45:00,98.69027863855116,88.30051750478026,100.0,95.63426212850386,100.0
KFM2120660242542,3440,96,2026-02-01 00:00:00,2026-02-01 23:45:00,98.32331646908901,93.56428179261427,100.0,100.0,88.8221097939267
KFM2020660182100,3420,96,2026-02-01 00:00:00,2026-02-01 23:45:00,98.25482653061931,80.17771780680492,100.0,100.0,100.0
KFM2120660243726,3420,96,2026-02-01 00:00:00,2026-02-01 23:45:00,98.23365621052635,80.87745220122397,100.0,100.0,88.2243747368423
KFM2120660239659,3410,96,2026-02-01 00:00:00,2026-02-01 23:45:00,98.17307525008427,80.50503332896125,100.0,93.9102508336142,100.0
SMR2420668002068,3420,96,2026-02-01 00:00:00,2026-02-01 23:45:00,98.05950104315721,85.8223261823643,100.0,95.9416948536362,95.17995058044227
KFM2120660243874,3420,96,2026-02-01 00:00:00,2026-02-01 23:45:00,97.91813022575468,79.02128220881993,100.0,100.0,100.0
SMR2220661016124,3420,96,2026-02-01 00:00:00,2026-02-01 23:45:00,97.61603740826595,81.76502739308852,100.0,100.0,100.0
KFM2120660261760,3410,96,2026-02-01 00:00:00,2026-02-01 23:45:00,97.59678394094459,86.49097722794143,100.0,94.80015914189941,94.3782413224984
SMR2420668002040,3420,96,2026-02-01 00:00:00,2026-02-01 23:45:00,96.91207319434912,79.34284458839265,100.0,100.0,100.0
MMF2420601019800,3420,96,2026-02-01 00:00:00,2026-02-01 23:45:00,94.86590228373488,80.66599993525851,100.0,100.0,65.7726818915659
